code,name,year,month,temp_min
GTM.10364822,El Progreso,1950,05,157.22
GTM.10364823,Sacatepéquez,1950,05,233.6
GTM.10364824,Chimaltenango,1950,05,232.8
GTM.10364825,Escuintla,1950,05,263.36
GTM.10364826,Santa Rosa,1950,05,257.24
GTM.10364827,Sololá,1950,05,355.15
GTM.10364828,Totonicapán,1950,05,196.83
GTM.10364829,Quetzaltenango,1950,05,453.8
GTM.10364830,Suchitepéquez,1950,05,354.94
GTM.10364831,Retalhuleu,1950,05,321.81
GTM.10364832,San Marcos,1950,05,333.01
GTM.10364833,Huehuetenango,1950,05,152.31
GTM.10364834,Quiché,1950,05,177.02
GTM.10364835,Baja Verapaz,1950,05,208.76
GTM.10364836,Alta Verapaz,1950,05,154.49
GTM.10364837,Petén,1950,05,80.11
GTM.10364838,Izabal,1950,05,164.34
GTM.10364839,Zacapa,1950,05,145.03
GTM.10364840,Chiquimula,1950,05,168.11
GTM.10364841,Jalapa,1950,05,159.31
GTM.10364842,Jutiapa,1950,05,184.82
HND.1111420,Atlantida,1950,05,116.4
HND.1111421,Choluteca,1950,05,189.98
HND.1111422,Colon,1950,05,81.43
HND.1111423,Comayagua,1950,05,143.74
HND.1111424,Copan,1950,05,177.31
HND.1111425,Cortes,1950,05,132.99
HND.1111426,Francisco Morazan,1950,05,148.87
HND.1111427,Gracias A Dios,1950,05,97.84
HND.1111428,Intibuca,1950,05,224.06
HND.1111429,Islas De Bahia,1950,05,28.99
HND.1111430,La Paz,1950,05,225.68
HND.1111431,Lempira,1950,05,218.19
HND.1111432,Name Unknown,1950,05,33.22
HND.1111433,Ocotepeque,1950,05,272.64
HND.1111434,Olancho,1950,05,110.86
HND.1111435,Paraiso,1950,05,135.83
HND.1111436,Santa Barbara,1950,05,143.83
HND.1111437,Valle,1950,05,146.04
HND.1111438,Yoro,1950,05,137.07
NIC.1801,Boaco,1950,05,128.77
NIC.18010,Managua,1950,05,127.38
NIC.18011,Masaya,1950,05,141.29
NIC.18012,Matagalpa,1950,05,146.68
NIC.18013,Nueva Segovia,1950,05,127.15
NIC.18014,Región Autónoma del Caribe Norte,1950,05,131.11
NIC.18015,Región Autónoma del Caribe Sur,1950,05,189.59
NIC.18016,Río San Juan,1950,05,203.9
NIC.18017,Rivas,1950,05,98.64
NIC.1802,Carazo,1950,05,99.55
NIC.1803,Chinandega,1950,05,177.91
NIC.1804,Chontales,1950,05,135.14
NIC.1805,Estelí,1950,05,185.68
NIC.1806,Granada,1950,05,101.7
NIC.1807,Jinotega,1950,05,141.98
NIC.1808,León,1950,05,130.28
NIC.1809,Madriz,1950,05,157.82
PAN.1911,Bocas del Toro,1950,05,367.4
PAN.19110,Ngäbe Buglé,1950,05,436.35
PAN.19111,Panamá,1950,05,413.56
PAN.19112,Panamá Oeste,1950,05,374.7
PAN.19113,Veraguas,1950,05,478.41
PAN.1912,Chiriquí,1950,05,531.12
PAN.1913,Coclé,1950,05,323.14
PAN.1914,Colón,1950,05,384.17
PAN.1915,Darién,1950,05,547.13
PAN.1916,Emberá,1950,05,522.79
PAN.1917,Herrera,1950,05,397.52
PAN.1918,Kuna Yala,1950,05,329.15
PAN.1919,Los Santos,1950,05,442.14
SLV.751184,Ahuachapan,1950,05,247.93
SLV.751185,Cabanas,1950,05,193.7
SLV.751186,Chalatenango,1950,05,188.06
SLV.751187,Cuscatlan,1950,05,176.26
SLV.751188,La Libertad,1950,05,197.19
SLV.751189,La Paz,1950,05,190.8
SLV.751190,La Union,1950,05,139.23
SLV.751191,Morazan,1950,05,276.89
SLV.751192,San Miguel,1950,05,219.98
SLV.751193,San Salvador,1950,05,178.19
SLV.751194,San Vicente,1950,05,225.13
SLV.751195,Santa Ana,1950,05,156.79
SLV.751196,Sonsonate,1950,05,243.93
SLV.751197,Usulutan,1950,05,187.61
BLZ.28603,Belize,1950,06,312.18
BLZ.28604,Cayo,1950,06,224.35
BLZ.28605,Corozal,1950,06,260.94
BLZ.28606,Orange Walk,1950,06,238.6
BLZ.28607,Stann Creek,1950,06,354.22
BLZ.28608,Toledo,1950,06,314.84
CRI.61981,Alajuela,1950,06,356.82
CRI.61982,Cartago,1950,06,369.01
CRI.61983,Guanacaste,1950,06,327.6
CRI.61984,Heredia,1950,06,380.44
CRI.61985,Limon,1950,06,388.72
CRI.61986,Puntarenas,1950,06,632.09
CRI.61987,San Jose,1950,06,675.63
GTM.10364821,Guatemala,1950,06,277.46
GTM.10364822,El Progreso,1950,06,272.49
GTM.10364823,Sacatepéquez,1950,06,296.15
GTM.10364824,Chimaltenango,1950,06,338.66
GTM.10364825,Escuintla,1950,06,353.45
GTM.10364826,Santa Rosa,1950,06,363.13
GTM.10364827,Sololá,1950,06,459.13
GTM.10364828,Totonicapán,1950,06,342.25
GTM.10364829,Quetzaltenango,1950,06,546.28
GTM.10364830,Suchitepéquez,1950,06,486.61
GTM.10364831,Retalhuleu,1950,06,474.03
GTM.10364832,San Marcos,1950,06,479.36
GTM.10364833,Huehuetenango,1950,06,353.61
GTM.10364834,Quiché,1950,06,417.45
