code,name,year,month,temp_max,temp_min
BLZ.28607,Stann Creek,1950,04,26.49,21.57
BLZ.28608,Toledo,1950,04,27.9,20.61
CRI.61981,Alajuela,1950,04,29.53,20.13
CRI.61982,Cartago,1950,04,23.3,13.81
CRI.61983,Guanacaste,1950,04,33.34,22.87
CRI.61984,Heredia,1950,04,28.07,19.33
CRI.61985,Limon,1950,04,26.44,18.41
CRI.61986,Puntarenas,1950,04,27.78,20.78
CRI.61987,San Jose,1950,04,25.53,17.26
GTM.10364821,Guatemala,1950,04,26.51,13.65
GTM.10364822,El Progreso,1950,04,26.51,14.25
GTM.10364823,Sacatepéquez,1950,04,24.82,13.14
GTM.10364824,Chimaltenango,1950,04,23.69,12.69
GTM.10364825,Escuintla,1950,04,28.89,21.07
GTM.10364826,Santa Rosa,1950,04,28.11,18.2
GTM.10364827,Sololá,1950,04,21.12,12.78
GTM.10364828,Totonicapán,1950,04,21.56,9.07
GTM.10364829,Quetzaltenango,1950,04,23.63,14.6
GTM.10364830,Suchitepéquez,1950,04,28.95,20.68
GTM.10364831,Retalhuleu,1950,04,30.16,22.53
GTM.10364832,San Marcos,1950,04,23.02,12.99
GTM.10364833,Huehuetenango,1950,04,23.08,10.59
GTM.10364834,Quiché,1950,04,23.99,12.72
GTM.10364835,Baja Verapaz,1950,04,25.11,13.64
GTM.10364836,Alta Verapaz,1950,04,26.67,17.15
GTM.10364837,Petén,1950,04,31.83,20.14
GTM.10364838,Izabal,1950,04,27.72,20.39
GTM.10364839,Zacapa,1950,04,27.26,17.54
GTM.10364840,Chiquimula,1950,04,26.93,16.55
GTM.10364841,Jalapa,1950,04,26.57,14.4
GTM.10364842,Jutiapa,1950,04,29.22,17.53
HND.1111420,Atlantida,1950,04,27.23,20.18
HND.1111421,Choluteca,1950,04,33.91,22.41
HND.1111422,Colon,1950,04,28.16,19.63
HND.1111423,Comayagua,1950,04,27.59,16.39
HND.1111424,Copan,1950,04,25.91,16.47
HND.1111425,Cortes,1950,04,28.49,19.66
HND.1111426,Francisco Morazan,1950,04,29.66,17.16
HND.1111427,Gracias A Dios,1950,04,28.48,21.43
HND.1111428,Intibuca,1950,04,26.98,15.76
HND.1111429,Islas De Bahia,1950,04,26.35,24.85
HND.1111430,La Paz,1950,04,28.79,16.87
HND.1111431,Lempira,1950,04,27.58,16.34
HND.1111432,Name Unknown,1950,04,26.08,24.6
HND.1111433,Ocotepeque,1950,04,25.68,15.28
HND.1111434,Olancho,1950,04,29.0,17.62
HND.1111435,Paraiso,1950,04,30.19,17.74
HND.1111436,Santa Barbara,1950,04,27.56,17.68
HND.1111437,Valle,1950,04,32.96,23.53
HND.1111438,Yoro,1950,04,28.64,17.5
NIC.1801,Boaco,1950,04,31.96,21.08
NIC.18010,Managua,1950,04,35.04,23.55
NIC.18011,Masaya,1950,04,33.38,22.66
NIC.18012,Matagalpa,1950,04,31.05,19.81
NIC.18013,Nueva Segovia,1950,04,29.79,17.88
NIC.18014,Región Autónoma del Caribe Norte,1950,04,29.81,21.23
NIC.18015,Región Autónoma del Caribe Sur,1950,04,30.01,21.93
NIC.18016,Río San Juan,1950,04,30.64,22.33
NIC.18017,Rivas,1950,04,29.09,24.07
NIC.1802,Carazo,1950,04,33.65,23.6
NIC.1803,Chinandega,1950,04,34.88,24.35
NIC.1804,Chontales,1950,04,31.52,21.77
NIC.1805,Estelí,1950,04,31.23,19.07
NIC.1806,Granada,1950,04,32.14,23.23
NIC.1807,Jinotega,1950,04,29.14,18.56
NIC.1808,León,1950,04,34.84,23.55
NIC.1809,Madriz,1950,04,30.75,18.55
PAN.1911,Bocas del Toro,1950,04,25.03,17.82
PAN.19110,Ngäbe Buglé,1950,04,26.81,19.65
PAN.19111,Panamá,1950,04,28.08,23.16
PAN.19112,Panamá Oeste,1950,04,29.4,23.22
PAN.19113,Veraguas,1950,04,30.15,22.53
PAN.1912,Chiriquí,1950,04,29.31,20.76
PAN.1913,Coclé,1950,04,28.86,22.44
PAN.1914,Colón,1950,04,27.42,23.08
PAN.1915,Darién,1950,04,27.91,22.29
PAN.1916,Emberá,1950,04,27.62,21.91
PAN.1917,Herrera,1950,04,32.69,22.46
PAN.1918,Kuna Yala,1950,04,27.02,23.53
PAN.1919,Los Santos,1950,04,31.2,22.88
SLV.751184,Ahuachapan,1950,04,29.35,20.76
SLV.751185,Cabanas,1950,04,32.45,21.03
SLV.751186,Chalatenango,1950,04,30.89,19.49
SLV.751187,Cuscatlan,1950,04,31.78,20.52
SLV.751188,La Libertad,1950,04,30.45,21.23
SLV.751189,La Paz,1950,04,29.27,22.86
SLV.751190,La Union,1950,04,32.59,23.13
SLV.751191,Morazan,1950,04,32.23,20.55
SLV.751192,San Miguel,1950,04,33.24,22.74
SLV.751193,San Salvador,1950,04,31.33,20.96
SLV.751194,San Vicente,1950,04,32.09,21.62
SLV.751195,Santa Ana,1950,04,30.45,18.78
SLV.751196,Sonsonate,1950,04,29.5,21.24
SLV.751197,Usulutan,1950,04,32.25,23.42
BLZ.28603,Belize,1950,05,29.74,24.56
BLZ.28604,Cayo,1950,05,29.95,21.63
BLZ.28605,Corozal,1950,05,30.5,24.26
BLZ.28606,Orange Walk,1950,05,32.21,23.21
BLZ.28607,Stann Creek,1950,05,27.97,23.2
BLZ.28608,Toledo,1950,05,29.37,22.53
CRI.61981,Alajuela,1950,05,28.52,20.95
CRI.61982,Cartago,1950,05,22.96,15.48
CRI.61983,Guanacaste,1950,05,30.59,23.06
CRI.61984,Heredia,1950,05,28.06,20.4
CRI.61985,Limon,1950,05,26.6,19.93
CRI.61986,Puntarenas,1950,05,26.58,21.19
CRI.61987,San Jose,1950,05,24.38,17.95
GTM.10364821,Guatemala,1950,05,24.85,15.24
GTM.10364822,El Progreso,1950,05,26.09,16.1
GTM.10364823,Sacatepéquez,1950,05,22.92,14.55
GTM.10364824,Chimaltenango,1950,05,22.23,14.19
GTM.10364825,Escuintla,1950,05,27.62,21.85
GTM.10364826,Santa Rosa,1950,05,26.35,19.36
GTM.10364827,Sololá,1950,05,20.65,14.2
GTM.10364828,Totonicapán,1950,05,20.34,10.95
GTM.10364829,Quetzaltenango,1950,05,23.31,15.99
GTM.10364830,Suchitepéquez,1950,05,27.88,21.36
GTM.10364831,Retalhuleu,1950,05,29.35,22.89
GTM.10364832,San Marcos,1950,05,22.8,14.71
GTM.10364833,Huehuetenango,1950,05,23.03,12.99
GTM.10364834,Quiché,1950,05,24.36,15.12
GTM.10364835,Baja Verapaz,1950,05,25.14,15.36
GTM.10364836,Alta Verapaz,1950,05,28.22,19.62
GTM.10364837,Petén,1950,05,33.3,22.72
GTM.10364838,Izabal,1950,05,29.05,22.23
GTM.10364839,Zacapa,1950,05,28.14,19.38
GTM.10364840,Chiquimula,1950,05,26.97,18.3
GTM.10364841,Jalapa,1950,05,25.67,16.3
GTM.10364842,Jutiapa,1950,05,27.21,18.77
HND.1111420,Atlantida,1950,05,28.41,21.83
HND.1111421,Choluteca,1950,05,31.61,22.49
HND.1111422,Colon,1950,05,29.98,21.44
HND.1111423,Comayagua,1950,05,28.04,18.14
HND.1111424,Copan,1950,05,26.87,18.24
HND.1111425,Cortes,1950,05,29.67,21.49
HND.1111426,Francisco Morazan,1950,05,28.48,18.3
HND.1111427,Gracias A Dios,1950,05,29.66,22.71
HND.1111428,Intibuca,1950,05,26.32,16.98
HND.1111429,Islas De Bahia,1950,05,27.27,26.22
HND.1111430,La Paz,1950,05,27.04,17.81
HND.1111431,Lempira,1950,05,26.43,17.47
HND.1111432,Name Unknown,1950,05,27.04,26.0
HND.1111433,Ocotepeque,1950,05,25.02,16.78
HND.1111434,Olancho,1950,05,29.33,19.26
HND.1111435,Paraiso,1950,05,29.2,19.12
HND.1111436,Santa Barbara,1950,05,28.81,19.57
HND.1111437,Valle,1950,05,31.25,23.61
HND.1111438,Yoro,1950,05,29.41,19.23
NIC.1801,Boaco,1950,05,30.42,21.75
NIC.18010,Managua,1950,05,32.65,23.77
NIC.18011,Masaya,1950,05,31.31,23.06
NIC.18012,Matagalpa,1950,05,29.67,20.61
NIC.18013,Nueva Segovia,1950,05,29.17,19.39
NIC.18014,Región Autónoma del Caribe Norte,1950,05,29.93,22.29
NIC.18015,Región Autónoma del Caribe Sur,1950,05,29.65,22.71
NIC.18016,Río San Juan,1950,05,29.83,22.92
NIC.18017,Rivas,1950,05,28.28,24.53
NIC.1802,Carazo,1950,05,31.73,23.9
NIC.1803,Chinandega,1950,05,32.6,24.09
NIC.1804,Chontales,1950,05,30.1,22.41
NIC.1805,Estelí,1950,05,29.3,19.85
NIC.1806,Granada,1950,05,30.72,23.68
NIC.1807,Jinotega,1950,05,28.87,19.88
NIC.1808,León,1950,05,32.69,23.7
NIC.1809,Madriz,1950,05,29.24,19.57
PAN.1911,Bocas del Toro,1950,05,25.09,19.38
PAN.19110,Ngäbe Buglé,1950,05,26.39,20.58
PAN.19111,Panamá,1950,05,27.88,23.34
PAN.19112,Panamá Oeste,1950,05,28.55,22.97
PAN.19113,Veraguas,1950,05,27.93,22.65
PAN.1912,Chiriquí,1950,05,27.12,21.14
PAN.1913,Coclé,1950,05,28.41,22.28
PAN.1914,Colón,1950,05,27.76,23.1
PAN.1915,Darién,1950,05,27.33,22.41
PAN.1916,Emberá,1950,05,27.35,22.01
PAN.1917,Herrera,1950,05,29.34,22.59
PAN.1918,Kuna Yala,1950,05,27.57,23.63
PAN.1919,Los Santos,1950,05,28.44,22.8
SLV.751184,Ahuachapan,1950,05,27.2,21.25
SLV.751185,Cabanas,1950,05,30.0,21.14
SLV.751186,Chalatenango,1950,05,28.73,20.1
SLV.751187,Cuscatlan,1950,05,30.02,21.18
SLV.751188,La Libertad,1950,05,28.61,21.79
SLV.751189,La Paz,1950,05,28.48,23.24
SLV.751190,La Union,1950,05,30.93,23.28
SLV.751191,Morazan,1950,05,29.66,20.66
SLV.751192,San Miguel,1950,05,30.95,22.67
SLV.751193,San Salvador,1950,05,29.63,21.63
SLV.751194,San Vicente,1950,05,30.18,21.95
SLV.751195,Santa Ana,1950,05,28.5,19.82
SLV.751196,Sonsonate,1950,05,27.52,21.79
SLV.751197,Usulutan,1950,05,30.57,23.5
BLZ.28603,Belize,1950,06,28.24,24.45
